Num_Ord;Type_Contrat;Type_Filiere;Type_Secteur;Type_Personnel;Corps_Filiere;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
80;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Ingenieurs;Ingenieur en chef en Statistiques;16;713;763;838;913
81;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Assistants Ingenieurs;Assistant Ingenieur de niveau 1 en Statistiques;11;498;548;623;698
82;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Assistants Ingenieurs;Assistant Ingenieur de niveau 2 en Statistiques;12;537;587;662;737
83;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Techniciens;Technicien en Statistiques;8;379;429;504;579
84;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Techniciens;Technicien superieur en Statistiques;10;453;503;578;653
85;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Adjoints techniques;Adjoint technique en Statistiques;7;348;398;473;548
86;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Agents techniques;Agent technique en Statistiques;5;288;338;413;488
87;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Documentation et archives;Corps des Documentalistes- archivistes;Documentaliste-archiviste;12;537;587;662;737
88;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Documentation et archives;Corps des Documentalistes- archivistes;Documentaliste-archiviste analyste;13;578;628;703;778
89;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Documentation et archives;Corps des Documentalistes- archivistes;Documentaliste-archiviste principal;14;621;671;746;821
90;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Documentation et archives;Corps des Documentalistes- archivistes;Documentaliste-archiviste en chef;16;713;763;838;913
91;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Documentation et archives;Corps des Assistants documentalistes-archivistes;Assistant documentaliste-archiviste;10;453;503;578;653
92;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Documentation et archives;Corps des Assistants documentalistes-archivistes;Assistant documentaliste-archiviste principal;11;498;548;623;698
93;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Documentation et archives;Corps des Agents techniques en documentation et archives;Agent technique en documentation et archives;7;348;398;473;548
94;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Ingenieurs;Ingenieur d’Etat-Laboratoire et maintenance-;13;578;628;703;778
95;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Ingenieurs;Ingenieur principal-Laboratoire et maintenance-;14;621;671;746;821
96;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Ingenieurs;Ingenieur en chef-Laboratoire et maintenance-;16;713;763;838;913
97;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Techniciens;Assistant ingenieur de niveau 1-Laboratoire et maintenance-;11;498;548;623;698
98;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Techniciens;Assistant ingenieur de niveau 2-Laboratoire et maintenance-;12;537;587;662;737
99;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Techniciens;Technicien-Laboratoire et maintenance-;8;379;429;504;579
100;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Techniciens;Technicien Superieur-Laboratoire et maintenance-;10;453;503;578;653
101;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Adjoints techniques;Adjoint technique-Laboratoire et maintenance-;7;348;398;473;548
102;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Agents techniques;Agent technique-Laboratoire et maintenance-;5;288;338;413;488
103;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Laboratoire et maintenance;Corps des Agents de laboratoire;Agent de Laboratoire-Laboratoire et maintenance-;4;263;313;388;463
104;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Maitres de l'Ecole Primaire;Instructeur;7;348;398;473;548
105;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur de l'’Ecole primaire;11;498;548;623;698
106;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur Principal de l'’Ecole primaire;12;537;587;662;737
107;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur Formateur de l'’Ecole primaire;14;621;671;746;821
